Date,Shares
2025-05-13,30967100
2025-05-15,30967100
2025-05-16,30967100
2025-05-20,31076700
2025-05-21,31076700
2025-05-22,31076700
2025-05-24,31076700
2025-05-28,31249800
2025-05-29,31397300
2025-05-29,31076700
2025-05-30,31076700
2025-05-31,31076700
2025-06-04,32857600
2025-06-04,31076700
2025-06-05,31076700
2025-06-07,31076700
2025-06-10,31076700
2025-06-11,31076700
2025-06-11,32363900
2025-06-14,32844300
2025-06-14,31076700
2025-06-17,33996800
2025-06-17,31076700
2025-06-18,31076700
2025-06-24,31878400
2025-06-24,31076700
2025-06-25,31076700
2025-06-26,31425100
2025-06-26,31076700
2025-06-27,31076700
2025-06-28,31076700
2025-07-02,31076700
2025-07-03,31076700
2025-07-09,31511100
2025-07-10,31076700
2025-07-15,31076700
2025-07-15,32293200
2025-07-18,31076700
2025-07-19,31659700
2025-07-19,31076700
2025-07-22,31076700
2025-07-29,31076700
2025-07-30,31076700
2025-07-31,31076700
2025-08-01,31076700
2025-08-02,31076700
2025-08-02,32434800
2025-08-07,31725400
2025-08-07,31076700
2025-08-07,31172000
2025-08-08,31076700
2025-08-13,31076700
2025-08-16,31076700
2025-08-19,31076700
2025-08-22,31076700
2025-09-03,31076700
2025-09-04,32239400
2025-09-04,31076700
2025-09-05,31289500
2025-09-05,31076700
2025-09-06,31076700
2025-09-09,31076700
2025-09-11,31076700
2025-09-12,31076700
2025-09-16,31076700
2025-09-17,31076659
2025-09-19,31076659
2025-09-26,32093314
2025-09-26,31076659
2025-10-01,31585649
2025-10-02,31076659
2025-10-09,31076659
2025-10-10,31076659
2025-10-18,31233216
2025-10-18,31076659
2025-10-20,31076659
2025-10-22,31128933
2025-10-23,31076659
2025-10-24,31076659
2025-10-24,31217532
2025-10-28,31076659
2025-10-29,31076659
2025-10-30,31076659
2025-11-01,31076659
2025-11-04,31076659
2025-11-05,32724586
2025-11-06,32724586
2025-11-07,32724586
2025-11-11,32724586
2025-11-13,32724586
2025-11-15,33377337
2025-11-17,32724586
2025-12-19,33100260
2026-03-24,33504060
2026-04-14,38504061
2026-04-24,38529765
2026-05-14,38711549
2026-08-14,38711549
2026-08-19,40622371
2026-09-11,39115046
