Date,Shares
2025-05-08,128719000
2025-05-09,128719000
2025-05-14,128719000
2025-05-15,128719000
2025-05-16,128719000
2025-05-21,128719000
2025-05-24,128719000
2025-05-28,128719000
2025-05-29,128719000
2025-05-29,131468000
2025-05-30,130342000
2025-05-30,128719000
2025-06-03,128719000
2025-06-04,128719000
2025-06-05,128719000
2025-06-05,128781000
2025-06-06,128719000
2025-06-10,128719000
2025-06-10,130302000
2025-06-11,128719000
2025-06-11,129382000
2025-06-14,128719000
2025-06-17,129509000
2025-06-17,128719000
2025-06-18,129621000
2025-06-19,128719000
2025-06-25,128719000
2025-06-26,128719000
2025-06-27,128719000
2025-06-30,128719000
2025-07-01,128719000
2025-07-02,128719000
2025-07-04,128719000
2025-07-08,128719000
2025-07-08,128797000
2025-07-09,130601000
2025-07-09,128719000
2025-07-11,128719000
2025-07-11,129346000
2025-07-12,128719000
2025-07-12,129473000
2025-07-15,128719000
2025-07-17,128719000
2025-07-18,128719000
2025-07-19,128719000
2025-07-22,128719000
2025-07-24,128719000
2025-07-25,128719000
2025-07-30,128719000
2025-08-02,128719000
2025-08-06,128297000
2025-08-07,128297000
2025-08-08,128297000
2025-08-09,128297000
2025-08-13,128297000
2025-08-14,128297000
2025-08-19,128297000
2025-08-21,128297000
2025-08-23,128297000
2025-08-27,128297000
2025-08-29,128297000
2025-08-30,128297000
2025-09-04,128297000
2025-09-06,128297000
2025-09-10,128297000
2025-09-12,128297000
2025-09-13,128297000
2025-09-16,128297000
2025-09-17,128297000
2025-09-17,128297332
2025-09-20,128297332
2025-09-23,128297332
2025-09-26,131843167
2025-09-26,128297332
2025-09-27,128297332
2025-09-30,128297332
2025-10-10,128297332
2025-10-14,128297332
2025-10-15,128297332
2025-10-16,128297332
2025-10-25,129263142
2025-10-25,128297332
2025-10-28,128873995
2025-10-28,129185392
2025-10-28,128297332
2025-10-29,128297332
2025-10-30,128297332
2025-11-04,128297332
2025-11-05,127855172
2025-11-06,127855172
2025-11-07,127855172
2025-11-08,127855172
2025-11-12,127855172
2025-11-17,128297333
2026-02-24,127855173
2026-03-24,126392685
2026-05-05,125783512
2026-05-06,125785466
2026-08-06,125492209
2026-08-06,125785466
