Date,Shares
2025-05-08,461432000
2025-05-09,461432000
2025-05-10,519702016
2025-05-10,461432000
2025-05-22,461432000
2025-05-23,461432000
2025-05-28,461432000
2025-05-29,461432000
2025-05-30,471078016
2025-05-30,488088992
2025-05-30,461432000
2025-05-31,461432000
2025-06-03,461432000
2025-06-05,461432000
2025-06-06,461432000
2025-06-06,469456992
2025-06-07,461432000
2025-06-11,503380992
2025-06-11,461432000
2025-06-12,461432000
2025-06-14,461432000
2025-06-14,479409984
2025-06-18,461432000
2025-06-18,463703008
2025-06-21,461432000
2025-06-27,461432000
2025-07-01,461432000
2025-07-02,480788000
2025-07-02,461432000
2025-07-03,461432000
2025-07-08,461432000
2025-07-09,461432000
2025-07-09,463100000
2025-07-10,461432000
2025-07-12,462260000
2025-07-12,461432000
2025-07-15,479339008
2025-07-18,479339008
2025-07-23,479339008
2025-07-24,479339008
2025-07-26,479339008
2025-07-29,479339008
2025-07-31,479339008
2025-08-02,479339008
2025-08-03,479446016
2025-08-05,479339008
2025-08-08,479339008
2025-08-09,479356000
2025-08-12,479356000
2025-08-13,479356000
2025-08-14,482412992
2025-08-15,482412992
2025-08-16,482412992
2025-08-19,482412992
2025-08-23,482412992
2025-08-29,482412992
2025-09-03,482412992
2025-09-04,482412992
2025-09-06,482412992
2025-09-10,482412992
2025-09-17,483960992
2025-09-17,483960665
2025-09-18,483960665
2025-09-19,483960665
2025-09-20,483960665
2025-09-23,483960665
2025-09-24,483960665
2025-09-25,483960665
2025-09-26,505340870
2025-09-26,483960665
2025-09-26,487831513
2025-09-27,483960665
2025-09-30,483960665
2025-10-03,483960665
2025-10-06,483960665
2025-10-07,483960665
2025-10-08,483960665
2025-10-11,483960665
2025-10-14,483960665
2025-10-15,483960665
2025-10-17,483960665
2025-10-18,483960665
2025-10-21,483960665
2025-10-22,490398674
2025-10-23,483960665
2025-10-24,483960665
2025-10-28,498156845
2025-10-29,483960665
2025-10-30,483960665
2025-10-31,483960665
2025-11-04,483960665
2025-11-07,483960665
2025-11-08,483960665
2025-11-12,534156333
2025-11-13,534156333
2025-11-17,534156333
2026-03-05,567445449
2026-03-24,569407668
2026-04-08,575767300
2026-04-16,578044302
2026-05-09,578750990
2026-05-23,578867475
2026-06-05,624818725
2026-06-16,624818725
2026-08-12,639301732
2026-08-14,639410989
2026-08-14,639301732
